Date,Locality,Sample,Equipment,Max.Depth,Mim.Depth,StartLat,StartLong,EndLat,EndLong,Duration
5/20/12,29,127,Van Veen Grab,17.9832,NA,34.59838333,-76.7371,NA,NA,NA
5/20/12,29,128,Basket,17.9832,17.6784,34.5992,-76.7426166666667,34.5987,-76.7407833333333,5
4/9/13,29,216,Van Veen Grab,17.0688,NA,34.58333333,-76.90715,NA,NA,NA
4/9/13,29,217,Sled,17.0688,NA,34.58231667,-76.9087666666667,34.58055,-76.9102,NA
4/9/13,29,218,Sled,17.0688,NA,34.57953333,-76.91165,34.58703333,-76.9121833333333,NA
5/20/12,29,240,Sled,17.9832,17.6784,34.59911667,-76.7404,34.59908333,-76.7434666666667,5
5/20/12,30,129,Sled,17.3736,17.0688,34.61365,-76.74145,34.6134,-76.7445833333333,5
5/20/12,30,130,Sled,17.6784,16.764,34.61315,-76.74305,34.61188333,-76.73935,8
5/20/12,30,227,Van Veen Grab,17.0688,NA,34.61348333,-76.7385666666667,NA,NA,NA
5/20/12,31,131,Van Veen Grab,16.1544,NA,34.63525,-76.7339333333333,NA,NA,NA
5/20/12,31,132,Sled,16.1544,15.8496,34.63518333,-76.73645,34.63626667,-76.74055,5
5/20/12,31,133,Sled,16.1544,15.8496,34.63696667,-76.7393,34.63721667,-76.7367166666667,5
5/20/12,32,134,Van Veen Grab,17.0688,NA,34.65803333,-76.7301333333333,NA,NA,NA
5/20/12,32,135,Sled,17.0688,16.764,34.65716667,-76.7338333333333,34.65743333,-76.7375333333333,5
5/20/12,32,136,Sled,17.0688,16.764,34.65765,-76.7362666666667,34.65706667,-76.731,8
4/7/13,33,145,Sled,16.4592,16.1544,34.59791667,-76.5725333333333,34.59581667,-76.5747333333333,5
4/7/13,33,146,Basket,16.1544,15.8496,34.59566667,-76.5750833333333,34.59618333,-76.5722666666667,5
4/7/13,33,147,Van Veen Grab,16.1544,NA,34.59651667,-76.6083333333333,NA,NA,NA
4/7/13,34,148,Van Veen Grab,17.9832,NA,34.58146667,-76.5974666666667,NA,NA,NA
4/7/13,34,149,Sled,17.6784,17.3736,34.58213333,-76.5965333333333,34.58375,-76.5949166666667,5
4/7/13,34,150,Basket,17.9832,17.6784,34.57483333,-76.5951,34.58051667,-76.5970333333333,5
4/7/13,35,151,Basket,17.9832,17.9832,34.56681667,-76.611,34.56598333,-76.6129666666667,5
4/7/13,35,152,Sled,17.9832,17.9832,34.56736667,-76.6129833333333,34.56943333,-76.6124,5
4/7/13,36,153,Sled,18.8976,18.8976,34.56535,-76.6819,34.56368333,-76.6866333333333,5
4/7/13,36,154,Basket,18.8976,18.8976,34.56438333,-76.6902166666667,34.56476667,-76.69255,5
4/7/13,37,158,Sled,18.8976,18.8976,34.55383333,-76.7169333333333,34.55731667,-76.7219166666667,5
4/7/13,37,240,Basket,19.2024,18.8976,34.55776667,-76.7234833333333,34.55931667,-76.72575,5
4/7/13,38,160,Basket,18.5928,18.288,34.57403333,-76.7438666666667,34.57628333,-76.74495,5
4/7/13,38,161,Sled,18.5928,18.288,34.57765,-76.7470833333333,34.5802,-76.74945,5
4/7/13,38,162,Van Veen Grab,17.9832,NA,34.58255,-76.75125,NA,NA,NA
4/9/13,39,163,Van Veen Grab,17.0688,NA,34.58333333,-76.90715,NA,NA,NA
4/9/13,39,164,Sled,17.0688,17.0688,34.58231667,-76.9087666666667,34.58055,-76.9102,5
4/9/13,39,165,Sled,17.0688,16.764,34.57953333,-76.91165,34.58703333,-76.9121833333333,5
4/7/13,40,166,Basket,16.764,16.764,34.6175,-76.7944833333333,34.62031667,-76.7968833333333,5
4/7/13,40,167,Sled,16.764,16.764,34.62135,-76.7965166666667,34.6249,-76.7956333333333,5
4/7/13,40,168,Van Veen Grab,17.0688,NA,34.62673333,-76.7964666666667,NA,NA,NA
4/7/13,41,169,Van Veen Grab,17.3736,NA,34.64438333,-76.7976833333333,NA,NA,NA
4/7/13,41,170,Sled,17.3736,17.0688,34.64855,-76.7982833333333,34.65221667,-76.7988833333333,5
4/7/13,41,171,Basket,17.6784,17.3736,34.65221667,-76.7997666666667,34.65588333,-76.7994833333333,5
